"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell morphogenesis","GO:0000902","0.004691069390973082","2.328728142858893","373","24","8","8796","ANTXR1,SGK1,CXCL12,ANK3,PPP3CB,CD44,RHOF,BSG"
"GO:BP","cell adhesion","GO:0007155","0.0057032164610620545","2.243880144799117","565","24","9","8796","ANTXR1,HSPB1,TMEM8B,CXCL12,ANK3,CD44,FLCN,BSG,LGALS4"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","0.006982445049160779","2.1559924734486766","222","24","6","8796","SGK1,CXCL12,ANK3,PPP3CB,CD44,BSG"
"GO:BP","cell projection morphogenesis","GO:0048858","0.006982445049160779","2.1559924734486766","224","24","6","8796","SGK1,CXCL12,ANK3,PPP3CB,CD44,BSG"
"GO:BP","cell part morphogenesis","GO:0032990","0.006982445049160779","2.1559924734486766","233","24","6","8796","SGK1,CXCL12,ANK3,PPP3CB,CD44,BSG"
"GO:BP","cellular component morphogenesis","GO:0032989","0.009882714186042746","2.0051237645075357","256","24","6","8796","SGK1,CXCL12,ANK3,PPP3CB,CD44,BSG"
"GO:BP","neuron projection morphogenesis","GO:0048812","0.0387272601977637","1.4119832265636578","212","24","5","8796","SGK1,CXCL12,ANK3,PPP3CB,BSG"
"GO:BP","negative regulation of intrinsic apoptotic signaling pathway","GO:2001243","0.04549658120909526","1.3420212367013211","51","24","3","8796","HSPB1,CXCL12,CD44"
"GO:BP","anatomical structure morphogenesis","GO:0009653","0.04549658120909526","1.3420212367013211","890","24","9","8796","ANTXR1,SGK1,HSPB1,CXCL12,ANK3,PPP3CB,CD44,RHOF,BSG"
"GO:CC","cell projection","GO:0042995","0.014284296256968216","1.8451411510981106","675","24","8","8796","ANTXR1,ANK3,CD44,SLC2A13,RHOF,GABARAP,FLCN,BSG"
"GO:CC","lamellipodium membrane","GO:0031258","0.014284296256968216","1.8451411510981106","8","24","2","8796","ANTXR1,CD44"
"GO:CC","cell periphery","GO:0071944","0.014284296256968216","1.8451411510981106","2107","24","14","8796","UBR4,ANTXR1,SERPINB6,TMEM8B,CXCL12,ANK3,PPP3CB,CD44,SLC2A13,RHOF,GABARAP,FLCN,BSG,LGALS4"
"GO:CC","plasma membrane","GO:0005886","0.014284296256968216","1.8451411510981106","1936","24","14","8796","UBR4,ANTXR1,SERPINB6,TMEM8B,CXCL12,ANK3,PPP3CB,CD44,SLC2A13,RHOF,GABARAP,FLCN,BSG,LGALS4"
"GO:CC","cell surface","GO:0009986","0.029530274176072024","1.5297325207761212","281","24","5","8796","ANTXR1,TMEM8B,CXCL12,ANK3,CD44"
"GO:CC","secretory granule membrane","GO:0030667","0.029530274176072024","1.5297325207761212","167","24","4","8796","UBR4,SERPINB6,CD44,RHOF"
"GO:CC","plasma membrane bounded cell projection","GO:0120025","0.03840992318402069","1.415556561379195","664","24","7","8796","ANTXR1,ANK3,CD44,SLC2A13,GABARAP,FLCN,BSG"
"GO:CC","cell-cell contact zone","GO:0044291","0.04609480243675893","1.3363480420787486","25","24","2","8796","ANK3,FLCN"
